,Categories,avg.t,avg.t.u,avg.w,avg.w.u,avg.d,avg.d.u,gape,premax,lower.jaw,tooth.reg,desc.proc,tooth.count,meanspace
Antennarius maculatus,3,-2.480423591,-2.806099097,-4.099277584,-4.245350312,-3.095662705,-3.415145849,-0.1030851897,-0.7489159994,-0.2425827023,-0.4812074536,-1.295436297,4.615120517,-3.242699487
Antennatus strigatus,3,-2.810540298,-2.92507106,-4.287833489,-3.997967058,-4.267985712,-3.131928107,-0.3828085321,-1.078691645,-0.3494462734,-0.6366712503,-1.079745983,4.143134726,-3.546623914
Antennatus coccineus,2,-2.62850393,-2.637989522,-4.0280171,-3.896315989,-3.622668487,-3.441267967,-0.2849583704,-1.076493727,-0.271843629,-0.5224433097,-1.813966909,4.204692619,-3.527860586
Bertella idiomorpha,1,-3.392822028,-3.613868582,-5.076569624,-4.791814561,-3.622007093,-4.237632951,-0.2160866634,-1.193587791,-0.3687014408,-0.8751102693,-1.648469757,4.477336814,-3.883175359
Borophryne apogon,4,-2.002678762,-1.976624243,-3.059297679,-3.174209646,-2.300967836,-1.856526656,-1.319223201,-0.06995022909,-0.07298869235,-0.8629263002,-1.914568306,2.197224577,-2.054256829
Brachionichthys australis,1,-4.087219917,-4.522225266,-4.729099742,-4.849007738,-3.168670537,-3.36954867,-0.9162890975,-2.42751717,-0.7867532105,-1.427509767,-1.880685831,3.850147602,-3.264074058
Bufoceratias thele,0,-2.069939184,-2.638941191,-3.315178809,-3.696308519,-2.253889439,-2.955419273,-0.9027761727,-0.1687294251,-0.02602970449,-0.2907262148,-1.672851184,3.258096538,-2.544357929
Bufoceratias wedli,0,-2.183969326,-2.365301705,-3.234393129,-3.638347789,-1.851092931,-2.61523133,-0.3052709685,-0.3830716584,-0.169907428,-0.556710834,-1.437781488,2.63905733,-2.161883264
Caulophryne jordani,4,-1.586615155,-1.799482549,-3.050905114,-3.119568695,-2.042099189,-1.920215094,-1.062257291,0.1709285458,0.2575302043,-0.2770472325,-1.752296126,1.945910149,-1.979301323
Centrophryne_spinulosus,3,-2.707032185,-2.955816753,-3.599730755,-4.00063923,-2.592255626,-2.924481801,-0.5169547164,-0.7317431609,-0.356741515,-0.9345744281,-1.073573424,3.044522438,-2.744634922
Ceratias holboeli,1,-2.722457084,-3.123290781,-3.640512887,-4.148591137,-3.583693325,-3.941813003,-0.5426532694,-0.991606056,-0.4704483876,-0.993451134,-0.8245253924,3.17805383,-3.746806892
Ceratias uranoscopus,1,-3.235560423,-3.503217204,-3.778543531,-4.452551337,-2.755141791,-4.174775392,-1.337531993,-0.6234960253,-0.4241673368,-0.9888387328,-0.817279176,2.63905733,-3.23172494
Chaenophryne longiceps,0,-1.889792014,-2.344768886,-3.632585556,-3.863064401,-2.62935218,-2.750089966,-0.9696185404,-0.4081547882,-0.1083705583,-0.572963227,-1.586622061,3.135494216,-2.687899977
Chaenophryne melanorhabdus,0,-1.74608071,-2.452013308,-3.514533276,-3.814635731,-2.809720631,-2.485225431,-0.4374505393,-0.4441103239,-0.09219439167,-0.4972496486,-1.617789827,2.772588722,-2.634368235
Chaunax picuts,1,-2.892502512,-2.569654938,-4.428108163,-4.244867565,-3.083762905,-3.848976414,-0.3302984931,-1.270966975,-0.8621244911,-0.8903158038,-0.9940721559,4.543294782,-3.394894727
Cryptopsaras couesii,1,-3.142885223,-3.489175808,-4.163419935,-4.686736725,-3.059857918,-3.888502922,-1.41706969,-0.9435347942,-0.6213329199,-1.239735675,-1.088474279,3.583518938,-3.390697674
Danaphryne nigrifilis,2,-2.263778565,-2.688601753,-3.859036027,-4.053784132,-2.728799064,-3.110973061,-1.219596326,-0.2872513246,-0.2872513246,-0.756405681,-1.164821076,3.465735903,-2.90173898
Diceratias bispinosus,4,-1.692826426,-2.098400231,-3.001356744,-3.535041521,-1.982566674,-2.180466255,-0.9574934684,-0.05508027809,0.09251907843,-0.2521392618,-2.065985248,3.044522438,-2.076628902
Dolopichthys longicornis,2,-2.882058591,-3.106740551,-4.755406829,-4.973012154,-2.745673406,-3.14677007,-1.317452026,-0.5549922867,-0.1431051217,-0.6671939461,-1.536307623,4.605170186,-2.926245294
Dolopichthys karsteni,3,-3.121139926,-2.316627828,-4.601439016,-4.472880445,-2.363648232,-3.418985176,-1.249112556,-0.6000945211,-0.3079984963,-0.8067906057,-1.404803887,3.17805383,-2.75811767
Fowlerichthys avalonis,3,-2.575383267,-2.839555922,-3.863760972,-3.87091881,-2.853318896,-3.314029712,-0.1598575803,-0.9527354674,-0.2461232327,-0.492183402,-1.498597869,4.430816799,-3.057373875
Gigantactis gibbsi,3,-2.525059903,-3.0748155,-4.010657257,-4.478212067,-2.694832904,-2.298996911,-0.984594665,-0.511887716,-0.2955797825,-0.4785975479,-1.615109922,3.258096538,-2.477455688
Gigantactis paxtoni,3,-2.488603407,-2.796169231,-3.526046437,-4.215114618,-2.53703116,-2.529826814,-0.9375218251,-0.5914826903,-0.2794705899,-0.6004459876,-1.507080702,3.583518938,-2.533422499
Gigantactis vanhoeffeni,3,-2.056685183,-2.642637766,-3.52973615,-3.959952222,-2.855992391,-2.291457439,-0.03722498435,-0.5587895659,-0.23361004,-0.343028302,-1.432107061,3.761200116,-2.534405484
Haplophryne mollis,2,-2.64651423,-3.099591922,-4.430719839,-4.950953414,-2.730763846,-3.125730925,-0.5331185514,-0.6988280372,-0.4736537355,-0.6751857144,-1.448798013,4.127134385,-2.908872957
Himantolophus albinares,2,-2.223718721,-3.231441224,-3.708879057,-4.4609686,-3.153500659,-3.515459455,-0.9387907248,-0.8388012948,-0.5602250052,-0.7423635434,-1.567164995,3.891820298,-3.318191912
Himantolophus appelii,0,-1.888981384,-2.17635472,-3.287567502,-3.541551218,-2.793325019,-3.159281523,-0.3926153902,-0.5531845764,-0.3403130322,-1.0162545,-1.384019578,4.343805422,-2.95965534
Himantolophus sagamius,3,-2.497281527,-2.766400272,-3.862742074,-4.199169775,-3.22011338,-3.496953147,-1.058145311,-0.4277089963,-0.3120708778,-0.5968889594,-1.587226167,4.510859507,-3.348983668
Himantolophus groenlandicus,3,-2.396193654,-2.647980164,-3.6410681,-4.094854119,-2.417295314,-3.200012824,-0.6648229631,-0.4889466795,-0.2842962133,-0.4663097509,-1.63652296,4.787491743,-2.7339518
Histrio Histrio,2,-2.416584912,-2.684169806,-3.833215303,-3.915829118,-2.947213375,-3.341277384,-0.687790508,-1.015167822,-0.08194236883,-0.687790508,-1.636877345,3.951243719,-3.124958882
Kuiterichthys pietschi,1,-2.59394198,-2.474340542,-3.71231223,-3.753199324,-3.029459683,-3.784158297,-0.653746395,-1.010618874,-0.3838409594,-0.7002126931,-2.126913124,3.850147602,-3.337240869
Lasiognathus beebei,1,-2.552751624,-2.386135254,-4.504171631,-4.523967328,-2.861603433,-2.394798283,-2.690645738,-0.4343933109,-0.5769494713,-0.9168518544,-2.874412113,3.610917913,-2.601206253
Lasiognathus sp,1,-2.880677661,-2.128711436,-4.437337183,-4.096969865,-2.981289935,-2.773058719,-2.312231668,-0.5144672339,-0.766395656,-1.172370251,-2.076906863,2.944438979,-2.871764061
